id,name,slug,short_description,description,category,subcategory,library,price,currency,compare_at_price,image,gallery_images,product_type,file_format,compatibility,benefits,includes,features,faqs,tags,gumroad_url,gumroad_product_id,gumroad_permalink,featured,status,seo_title,seo_description,updated_at,order
PS-00001,Copywriting,copywriting,"Writing sales pages, ad copy, and landing page text instantly.","This structured skill pack focuses on one thing: writing sales pages, ad copy, and landing page text instantly. It turns that task into a clear intake → process → output routine you can run with any modern chat AI, so the same job comes out consistent every time.

Everything inside is copy-paste ready: a short intake checklist, a step-by-step prompt sequence, a worked example in your field, and adaptable output templates. The AI does the heavy lifting from your brief, while the structure keeps the result focused and auditable.

You keep full control throughout — the assistant proposes, you decide. The pack ships as Markdown + PDF, is DRM-free, and works in ChatGPT, Claude, Gemini, or your own tooling. One-time purchase, instant delivery, yours to keep and adapt.","CONTENT, WRITING & LOCALIZATION",Copywriting,1.txt,18,USD,,images/products/copywriting.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for copywriting — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for copywriting|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for copywriting|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","copywriting|business,content|ai|skill",https://capitalstance.gumroad.com/l/hozwog,,,TRUE,published,Copywriting,"Writing sales pages, ad copy, and landing page text instantly.",9/1/2026,1
PS-00002,SEO Optimization,seo-optimization,Analyzing search trends and writing search-friendly articles.,"This structured skill pack focuses on one thing: analyzing search trends and writing search-friendly articles. It turns that task into a clear intake → process → output routine you can run with any modern chat AI, so the same job comes out consistent every time.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

You keep full control throughout — the assistant proposes, you decide. The pack ships as Markdown + PDF, is DRM-free, and works in ChatGPT, Claude, Gemini, or your own tooling. One-time purchase, instant delivery, yours to keep and adapt.","CONTENT, WRITING & LOCALIZATION",SEO Optimization,1.txt,21,USD,28,images/products/seo-optimization.svg,,skill-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for sEO Optimization — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for sEO Optimization|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for sEO Optimization|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","ptimization|business,content|ai|skill",https://capitalstance.gumroad.com/l/mepiv,,,FALSE,published,SEO Optimization,Analyzing search trends and writing search-friendly articles.,9/1/2026,2
PS-00003,E-Commerce Product Descriptions,e-commerce-product-descriptions,Generating unique item descriptions for thousands of online store products.,"The job here is generating unique item descriptions for thousands of online store products — and this pack turns it into a dependable workflow. You get a structured prompt sequence, sensible checkpoints, and output templates, all designed to keep your AI assistant on-task and your final result easy to review.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

No subscriptions, no retraining, no special software. Open the pack in any chat assistant you already use, follow the numbered steps, and reuse the templates as often as you like. It is built to be edited to your exact context.","CONTENT, WRITING & LOCALIZATION",E-Commerce Product Descriptions,1.txt,21,USD,28,images/products/e-commerce-product-descriptions.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for e-Commerce Product Descriptions — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for e-Commerce Product Descriptions|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for e-Commerce Product Descriptions|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","ommerce|roduct|escriptions|business,content|ai|skill",https://capitalstance.gumroad.com/l/ecjeu,,,FALSE,published,E-Commerce Product Descriptions,Generating unique item descriptions for thousands of online store products.,9/1/2026,3
PS-00004,Email Marketing,email-marketing,Personalizing automated email campaigns for individual buyers.,"This structured skill pack focuses on one thing: personalizing automated email campaigns for individual buyers. It turns that task into a clear intake → process → output routine you can run with any modern chat AI, so the same job comes out consistent every time.

Inside you will find the intake sheet, the full prompt chain, a worked example, and review checklists that catch the usual mistakes before you share the result. Adapt them to your context and the same process works again and again.

You keep full control throughout — the assistant proposes, you decide. The pack ships as Markdown + PDF, is DRM-free, and works in ChatGPT, Claude, Gemini, or your own tooling. One-time purchase, instant delivery, yours to keep and adapt.","CONTENT, WRITING & LOCALIZATION",Email Marketing,1.txt,9,USD,12,images/products/email-marketing.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for email Marketing — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for email Marketing|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for email Marketing|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","email|arketing|business,content|ai|skill",https://capitalstance.gumroad.com/l/rxmdvj,,,FALSE,published,Email Marketing,Personalizing automated email campaigns for individual buyers.,9/1/2026,4
PS-00005,Resume and Cover Letter Writing,resume-and-cover-letter-writing,Tailoring job application documents to specific job descriptions.,"Purpose-built around tailoring job application documents to specific job descriptions, this pack gives you a repeatable, step-by-step way to brief your AI assistant, work through the task, and land on a review-ready result instead of starting from a blank prompt each time.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

No subscriptions, no retraining, no special software. Open the pack in any chat assistant you already use, follow the numbered steps, and reuse the templates as often as you like. It is built to be edited to your exact context.","CONTENT, WRITING & LOCALIZATION",Resume and Cover Letter Writing,1.txt,12,USD,,images/products/resume-and-cover-letter-writing.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for resume and Cover Letter Writing — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for resume and Cover Letter Writing|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for resume and Cover Letter Writing|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","resume|over|etter|riting|business,content|ai|skill",https://capitalstance.gumroad.com/l/aeugyg,,,FALSE,published,Resume and Cover Letter Writing,Tailoring job application documents to specific job descriptions.,9/1/2026,5
PS-00006,Transcription and Summaries,transcription-and-summaries,Turning long audio or video files into clean text notes.,"Purpose-built around turning long audio or video files into clean text notes, this pack gives you a repeatable, step-by-step way to brief your AI assistant, work through the task, and land on a review-ready result instead of starting from a blank prompt each time.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

You keep full control throughout — the assistant proposes, you decide. The pack ships as Markdown + PDF, is DRM-free, and works in ChatGPT, Claude, Gemini, or your own tooling. One-time purchase, instant delivery, yours to keep and adapt.","CONTENT, WRITING & LOCALIZATION",Transcription and Summaries,1.txt,24,USD,,images/products/transcription-and-summaries.svg,,skill-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for transcription and Summaries — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for transcription and Summaries|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for transcription and Summaries|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","transcription|ummaries|business,content|ai|skill",https://capitalstance.gumroad.com/l/yfifs,,,FALSE,published,Transcription and Summaries,Turning long audio or video files into clean text notes.,9/1/2026,6
PS-00007,Technical Documentation,technical-documentation,"Generating software manuals, API documentations, and engineering guides from source code.","The job here is generating software manuals, API documentations, and engineering guides from source code — and this pack turns it into a dependable workflow. You get a structured prompt sequence, sensible checkpoints, and output templates, all designed to keep your AI assistant on-task and your final result easy to review.

Inside you will find the intake sheet, the full prompt chain, a worked example, and review checklists that catch the usual mistakes before you share the result. Adapt them to your context and the same process works again and again.

You keep full control throughout — the assistant proposes, you decide. The pack ships as Markdown + PDF, is DRM-free, and works in ChatGPT, Claude, Gemini, or your own tooling. One-time purchase, instant delivery, yours to keep and adapt.","CONTENT, WRITING & LOCALIZATION",Technical Documentation,1.txt,12,USD,,images/products/technical-documentation.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for technical Documentation — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for technical Documentation|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for technical Documentation|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","technical|ocumentation|business,content|ai|skill",https://capitalstance.gumroad.com/l/phbaj,,,FALSE,published,Technical Documentation,"Generating software manuals, API documentations, and engineering guides from source code.",9/1/2026,7
PS-00008,Scriptwriting & Storyboarding,scriptwriting-and-storyboarding,"Drafting YouTube video scripts, movie screenplays, and visual storyboards from plot outlines.","Purpose-built around drafting YouTube video scripts, movie screenplays, and visual storyboards from plot outlines, this pack gives you a repeatable, step-by-step way to brief your AI assistant, work through the task, and land on a review-ready result instead of starting from a blank prompt each time.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

No subscriptions, no retraining, no special software. Open the pack in any chat assistant you already use, follow the numbered steps, and reuse the templates as often as you like. It is built to be edited to your exact context.","CONTENT, WRITING & LOCALIZATION",Scriptwriting & Storyboarding,1.txt,15,USD,,images/products/scriptwriting-and-storyboarding.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for scriptwriting & Storyboarding — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for scriptwriting & Storyboarding|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for scriptwriting & Storyboarding|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","scriptwriting|toryboarding|business,content|ai|skill",https://capitalstance.gumroad.com/l/tndtpk,,,FALSE,published,Scriptwriting & Storyboarding,"Drafting YouTube video scripts, movie screenplays, and visual storyboards from plot outlines.",9/1/2026,8
PS-00009,Social Media Captioning,social-media-captioning,"Writing daily punchy text posts, hashtags, and threads for corporate networks.","This structured skill pack focuses on one thing: writing daily punchy text posts, hashtags, and threads for corporate networks. It turns that task into a clear intake → process → output routine you can run with any modern chat AI, so the same job comes out consistent every time.

Everything inside is copy-paste ready: a short intake checklist, a step-by-step prompt sequence, a worked example in your field, and adaptable output templates. The AI does the heavy lifting from your brief, while the structure keeps the result focused and auditable.

No subscriptions, no retraining, no special software. Open the pack in any chat assistant you already use, follow the numbered steps, and reuse the templates as often as you like. It is built to be edited to your exact context.","CONTENT, WRITING & LOCALIZATION",Social Media Captioning,1.txt,27,USD,,images/products/social-media-captioning.svg,,workflow-kit,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for social Media Captioning — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for social Media Captioning|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for social Media Captioning|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","social|edia|aptioning|business,content|ai|skill",https://capitalstance.gumroad.com/l/asljfy,,,FALSE,published,Social Media Captioning,"Writing daily punchy text posts, hashtags, and threads for corporate networks.",9/1/2026,9
PS-00010,Book & Novel Ghostwriting,book-and-novel-ghostwriting,"Assisting authors with world-building, character generation, and long-form text.","Purpose-built around assisting authors with world-building, character generation, and long-form text, this pack gives you a repeatable, step-by-step way to brief your AI assistant, work through the task, and land on a review-ready result instead of starting from a blank prompt each time.

The pack walks you from initial context through to finished output: what to gather first, which prompts to run in order, what to check before you call it done, and how to adapt the templates to your own context. No prompt engineering degree required.

No subscriptions, no retraining, no special software. Open the pack in any chat assistant you already use, follow the numbered steps, and reuse the templates as often as you like. It is built to be edited to your exact context.","CONTENT, WRITING & LOCALIZATION",Book & Novel Ghostwriting,1.txt,9,USD,12,images/products/book-and-novel-ghostwriting.svg,,prompt-pack,Markdown + PDF,ChatGPT · Claude · Gemini,Purpose-built for book & Novel Ghostwriting — the process maps directly to the real task|Copy-paste prompts you can adapt to your context|Intake-to-output routine with review checkpoints|Reusable templates that keep results consistent,Intake & context sheet for book & Novel Ghostwriting|Step-by-step prompt sequence|Worked example in the field|Output & review checklist for book & Novel Ghostwriting|Quick-reference card (one page),"Designed to run in any modern chat AI|Formatted for copy-paste, easy to edit|Instant delivery via Gumroad","Do I need special software?::No. The pack works in ChatGPT, Claude, Gemini, or any chat assistant you already use.
Is this an AI model?::No — it is a structured skill pack (prompts, templates, checklists) that makes your existing assistant better at this task.
What exactly do I get?::The full pack as Markdown + PDF, delivered instantly after checkout, with a license to use and adapt it.","book|ovel|hostwriting|business,content|ai|skill",https://capitalstance.gumroad.com/l/twjvq,,,FALSE,published,Book & Novel Ghostwriting,"Assisting authors with world-building, character generation, and long-form text.",9/1/2026,10
